"regione";"CIRCOSCRIZIONE";"provincia";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"cognome";"nome";"VOTI_CANDIDATO";"LISTA";"VOTI_LISTA"
"LIGURIA";"IMPERIA";"IMPERIA";"MENDATICA";164;96;110;68;1;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"MOLINI DI TRIORA";463;248;257;134;6;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"MONTALTO CARPASIO";449;247;221;121;4;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"MONTEGROSSO PIAN LATTE";107;52;85;42;4;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"OLIVETTA SAN MICHELE";205;114;103;56;1;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"OSPEDALETTI";2889;1384;1442;700;22;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"PERINALDO";731;369;490;255;42;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"PIETRABRUNA";350;187;276;154;20;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"PIEVE DI TECO";1070;540;600;303;24;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"PIGNA";765;396;343;178;6;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"POMPEIANA";699;345;396;199;13;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"PONTEDASSIO";1830;900;1074;539;21;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"PORNASSIO";448;238;253;139;9;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"PRELA'";392;205;196;107;9;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"RANZO";459;227;238;120;7;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"REZZO";275;138;154;85;5;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"RIVA LIGURE";2458;1207;1297;609;44;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"ROCCHETTA NERVINA";231;118;151;78;10;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"SAN BARTOLOMEO AL MARE";2481;1179;1299;626;29;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"SAN BIAGIO DELLA CIMA";1112;539;562;273;12;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"SAN LORENZO AL MARE";1052;496;652;307;13;"VISIGALLI";"DAVIDE";"1";;
"LIGURIA";"IMPERIA";"IMPERIA";"SANREMO";46531;21996;22017;10543;439;"VISIGALLI";"DAVIDE";"19";;
"LIGURIA";"IMPERIA";"IMPERIA";"SANTO STEFANO AL MARE";1798;878;1192;575;43;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"SEBORGA";238;113;144;72;3;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"SOLDANO";803;414;432;216;15;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"TAGGIA";11652;5478;6170;2901;153;"VISIGALLI";"DAVIDE";"4";;
"LIGURIA";"IMPERIA";"IMPERIA";"TERZORIO";192;94;141;68;4;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"TRIORA";320;171;185;101;10;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"VALLEBONA";1087;560;517;259;11;"VISIGALLI";"DAVIDE";"2";;
"LIGURIA";"IMPERIA";"IMPERIA";"VALLECROSIA";6123;2927;2984;1419;67;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"VASIA";319;157;205;103;6;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"VENTIMIGLIA";21730;10733;9262;4474;174;"VISIGALLI";"DAVIDE";"5";;
"LIGURIA";"IMPERIA";"IMPERIA";"VESSALICO";174;92;95;52;3;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"IMPERIA";"IMPERIA";"VILLA FARALDI";355;182;202;99;4;"VISIGALLI";"DAVIDE";"0";;
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"AMEGLIA";3782;1839;2086;1045;37;"VISIGALLI";"DAVIDE";"3";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"ARCOLA";8537;4128;4757;2359;102;"VISIGALLI";"DAVIDE";"13";"RICONQUISTARE L'ITALIA";15
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"BEVERINO";2321;1143;1170;599;23;"VISIGALLI";"DAVIDE";"3";"RICONQUISTARE L'ITALIA";3
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"BOLANO";6543;3184;3672;1856;118;"VISIGALLI";"DAVIDE";"9";"RICONQUISTARE L'ITALIA";8
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"BONASSOLA";803;378;458;220;1;"VISIGALLI";"DAVIDE";"0";"RICONQUISTARE L'ITALIA";0
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"BORGHETTO DI VARA";1128;572;493;259;6;"VISIGALLI";"DAVIDE";"0";"RICONQUISTARE L'ITALIA";0
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"BRUGNATO";1173;581;726;371;9;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"CALICE AL CORNOVIGLIO";1331;682;507;271;7;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"CARRO";657;339;278;142;6;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"CARRODANO";547;279;294;158;9;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"CASTELNUOVO MAGRA";7119;3492;3966;1990;115;"VISIGALLI";"DAVIDE";"11";"RICONQUISTARE L'ITALIA";11
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"DEIVA MARINA";1657;817;744;369;17;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"FOLLO";5356;2631;2786;1415;69;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"FRAMURA";747;377;384;201;5;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"LA SPEZIA";74654;35332;38884;19012;814;"VISIGALLI";"DAVIDE";"61";"RICONQUISTARE L'ITALIA";63
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"LERICI";9047;4290;5811;2853;217;"VISIGALLI";"DAVIDE";"7";"RICONQUISTARE L'ITALIA";6
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"LEVANTO";4933;2353;3428;1688;112;"VISIGALLI";"DAVIDE";"7";"RICONQUISTARE L'ITALIA";7
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"MAISSANA";624;342;310;176;8;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"MONTEROSSO AL MARE";1890;892;654;304;24;"VISIGALLI";"DAVIDE";"0";"RICONQUISTARE L'ITALIA";0
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"LUNI";7104;3485;3825;1914;148;"VISIGALLI";"DAVIDE";"17";"RICONQUISTARE L'ITALIA";15
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"PIGNONE";931;466;320;177;7;"VISIGALLI";"DAVIDE";"2";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"PORTOVENERE";3292;1635;1768;901;49;"VISIGALLI";"DAVIDE";"3";"RICONQUISTARE L'ITALIA";3
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"RICCO' DEL GOLFO DI SPEZIA";3317;1633;1717;883;44;"VISIGALLI";"DAVIDE";"3";"RICONQUISTARE L'ITALIA";2
"LIGURIA";"LA SPEZIA";"LA SPEZIA";"RIOMAGGIORE";1582;802;809;440;17;"VISIGALLI";"DAVIDE";"1";"RICONQUISTARE L'ITALIA";1
