"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO"
"LOMBARDIA","LOMBARDIA - U08","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","ROSA VITALE"
"LOMBARDIA","LOMBARDIA - U08","ALLEANZA VERDI E SINISTRA","ROSA VITALE"
"LOMBARDIA","LOMBARDIA - U08","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","ROSA VITALE"
"LOMBARDIA","LOMBARDIA - U08","MASTELLA NOI DI CENTRO EUROPEISTI","GIUSEPPE COSTANZO"
"LOMBARDIA","LOMBARDIA - U08","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","STEFANO BORGHESI"
"LOMBARDIA","LOMBARDIA - U08","LEGA PER SALVINI PREMIER","STEFANO BORGHESI"
"LOMBARDIA","LOMBARDIA - U08","FRATELLI D'ITALIA CON GIORGIA MELONI","STEFANO BORGHESI"
"LOMBARDIA","LOMBARDIA - U08","FORZA ITALIA","STEFANO BORGHESI"
"LOMBARDIA","LOMBARDIA - U08","ITALIA SOVRANA E POPOLARE","VINCENZO DELILLO"
"LOMBARDIA","LOMBARDIA - U08","MOVIMENTO 5 STELLE","ANNA MARIA BONETTINI"
"LOMBARDIA","LOMBARDIA - U08","ITALEXIT PER L'ITALIA","EROS LODI"
"LOMBARDIA","LOMBARDIA - U08","AZIONE - ITALIA VIVA - CALENDA","RICCARDO CANINI"
"LOMBARDIA","LOMBARDIA - U08","UNIONE POPOLARE CON DE MAGISTRIS","DARIO FILIPPINI"
"LOMBARDIA","LOMBARDIA - U08","VITA","LORENA POLONINI"
"LOMBARDIA","LOMBARDIA - U09","+EUROPA","CRISTINA TEDALDI"
"LOMBARDIA","LOMBARDIA - U09","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CRISTINA TEDALDI"
"LOMBARDIA","LOMBARDIA - U09","ALLEANZA VERDI E SINISTRA","CRISTINA TEDALDI"
"LOMBARDIA","LOMBARDIA - U09","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","CRISTINA TEDALDI"
"LOMBARDIA","LOMBARDIA - U09","MASTELLA NOI DI CENTRO EUROPEISTI","FEDERICA FRANCESCA BONVINI"
"LOMBARDIA","LOMBARDIA - U09","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","LEGA PER SALVINI PREMIER","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","FRATELLI D'ITALIA CON GIORGIA MELONI","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","FORZA ITALIA","GIULIOMARIA TERZI DI SANT'AGATA"
"LOMBARDIA","LOMBARDIA - U09","ITALIA SOVRANA E POPOLARE","PIETRO MARTINELLI"
"LOMBARDIA","LOMBARDIA - U09","MOVIMENTO 5 STELLE","MARIAROSA GHITTI"
